UID,R-X,readability_reflection,comprehension_debugging,preference_rationale,learning_curve,suggestions_improvement,source_file
870990fb,R-66,"I think string Interpolation is more readable because a {} would better let me think the process of embeddings, and I really don't like string concatenation because the '+' sign is misleading in string practices and it will mix the function with the actual arithmetic addition sign.","Not yet. I rarely use string concatenation to write my code, and string interpolation didn't cause any problem to debug code snippets.",I would prefer string interpolation. I chose interpolation because it won't mix with arithmetic addition and makes me understand I am not adding the number together. ,"My prior understanding of string concatenation is when I add two string numbers together it won't have space between, but after doing the provided code examples it seems automatically adding the space between. Or maybe my understanding is wrong. ","The string interpolation is easy to understand, but concatenation syntax needs to improve on its clarification when 2 + 1 and ""2"" + ""1"" occur.",AKIAYPZKJUD4MSKJLBUZ_v_20250428T171015_NyZ4wh_f9avoVkMCtEpZEFfxJCIxI7CX.csv
7cfe5043,R-67,"I found concatenation more readable because it was easier just putting together the words with the ""+"" than using the {}. ",Interpolation took a little longer than concatenation but it wasn't that hard and didn't take too long. ,I would prefer concatenation because it is easier to put strings together with the + instead of having to figure out what was inserted using the {}. ,Prior experiences helped my understanding because I already knew how concatenation worked so that made it easier to put strings together. ,I dont really have any suggestions for improvement because these are fairly basic concepts of strings which are easy to use and understand. ,AKIAYPZKJUD4MSKJLBUZ_v_20250428T171947_VXXVrukj7aQC2Zh5ygJom3C_hzOkagLS.csv
085a391e,R-68,"The string concatenation is more readable. Since it uses algebraic expression, (+) and the brain is already tuned to it from its daily use so it is easier to foresee or come up with the output","I needed a few minutes to think when attempting interpolation, basically because of its structure. You needed to accurately place the variables in their right place in the string.  Whereas in concatenation, it was much easier to predict what the next item in the string was if (+) was met","Honestly, I use both in my normal programming, but I would definitely use concatenation for simple, straightforward tasks where, for example, the string lengths are already short. But I would use interpolation for more complex tasks, especially if it involves very, very long strings. Concatenations would require a lot of work and make it harder to read if the string was 5 to 10 lines of code long.","Well, I needed to remember from experience that spaces are maintained by the compiler when working with strings. Anyone who has not had live experience with that will not be aware.",None that I can think of right now,AKIAYPZKJUD4MSKJLBUZ_v_20250428T173540_WAP0NqHo1TyWHAg3AI.JPnnuR58Cj21U.csv
f648340f,R-69,I found sting interpolation more readable. The strings are spaced out more and it uses less symbols. ,"Yes, found that with concatenation I had to read longer to separate the string variables from the rest of the string. ",I would choose interrelation because I found it much easier to read,I may have found interpolation easier because I have more experiences using it. I believe it is the default way its taught in most schools and lessons.,Spacing out the concatenated variables would help with readability. ,AKIAYPZKJUD4MSKJLBUZ_v_20250428T174011_9txUgc18FQW4H5egui4GvrnSlaVOljfH.csv
7dee3571,R-70,the string concatenation was more legible because the quotations take up less space in the text,only legibility,string concatenation,understanding how they impact the provided code,,AKIAYPZKJUD4MSKJLBUZ_v_20250428T181728_ACVGS_iU_2jBWEuHE1_j_PLaP9r2WGz0.csv
ea408f14,R-71,"concatenation was more readable, it provided simple strings like Hello World to concatenate and was simple to understand.","I was able to quickly understand code snippets with relative ease, and understood the code quite well.",I would prefer concatenation because it is much easier and simpler to understand.,I understood concatenation examples much more than interpolation examples because I was more familiar with concatenation.,Just being able to tell the difference between a string and an int/double,AKIAYPZKJUD4MSKJLBUZ_v_20250428T183803_CUYslnCzv4FM4Cyt71cIlZEcFgedVKgp.csv
8abafdc4,R-72,Overall I found string interpolation more readable. I was able to tell the spacing of the strings more clearly.,"A bit , when using string concatenation I would often have to check multiple time just to make sure the spacing was correct.","Overall I think I would choose interpolation, its much more easily readable compared to string concatenation despite me having been more used to using concatenation.",I more used to concatenation since that what i learned early on but throughout the survey I felt more comfortable overtime with interpolation despite being less accustom to using it. ,,AKIAYPZKJUD4MSKJLBUZ_v_20250428T192914_1QtF__seSLVST.f3mZCP6y7xXEYTvZaE.csv
2731e3e2,R-73,"I found the version with the ""+"" more readable. I just use it more in concatenation than the {}.","I knew string interpolation but I don't use it so much in my programs, so it took a bit longer to read than the concatenation.","Concatenation, just because I'm already used to using it in programming tasks.",I think knowing concatenation before knowing interpolation made it easier to understand combining strings as a whole.,"Interpolation is more user friendly as some might find a ""+"" confusing without numbers.",AKIAYPZKJUD4MSKJLBUZ_v_20250428T194407_e8gBdetBl5E2taUCAcDzN0hGmEx0ig.P.csv
3eecf562,R-74,"string interpolation is easier to read compare to string concatenation. in my opinion, {} makes it easier to distinguish that you're inserting a string rather than using +, it could be considered as different type of variable not only string. also, it make the line of code shorter while still keep it clean, since string concatenation is easier to use to but need more spaces and double quotes """"",does not matter but I sometimes confused of many double quotes and + when concatenating ,I have the ability to use both since string concatenation is easier to use and string interpolation makes the code looks clean,"I have learned C++ and I basically use string concatenation and JavaScript, Python use string interpolation ","there are unique rules for using different techniques, it should be available both techniques for the coder so consider using them in each language. ",AKIAYPZKJUD4MSKJLBUZ_v_20250428T195126_ll7RSpg1IRjNtXNX8Kep5jpUmVPypFBo.csv
ee40e83d,R-75,I found string concatenation to be more readable because I was easily able to distinguish what was being joined together as well as where the spaces would be.,String interpolation took me longer to understand and realize what was being joined together because I do not have much experience using interpolation. ,I would prefer string concatenation because that is what I recognize more easily and quickly.,"Because of my lack of familiarity with string interpolation, I had a harder time understanding it compared to string concatenation which I have used previously in coding.",,AKIAYPZKJUD4MSKJLBUZ_v_20250428T201219_dAUFcB5UFKu4CB1uhzUub6ZCGqkdx9Vn.csv
ddc80723,R-76,"Probably interpolation, because of the {}, it makes it more readable when you have a big string what'll be output if its surrounded by {} and not """" ","I would say it impacted my ability in terms of how quickly I could understand it, as I have to pay more attention to where the """" marks are ",the {} made me choose interpolation as its more readable when im coding and can spend a few minutes looking at it and understanding it as appose to string concatenation ,I've worked with C++ and Python so string concatenation is something i'm more familiar with as I had a lot of assignments in my entry level classes using string concatenation. ,"good question, I think changing the syntax of string concatenation can be a little annoying if you're new to programming. It's specifically the quotation marks because you typically enclose a message within """" marks so I think changing it to a different symbol might be better. ",AKIAYPZKJUD4MSKJLBUZ_v_20250428T202416_5H4GGlZjGrAOgaNDuPqf6kLf8195DkLT.csv
cba94f93,R-77,I thought string interpolation was more readable because it keeps the text intact,not really,string interpolation is much clearer,I just knew what I was looking at a little more than someone who has never seen it ,favor interpolation over concatenation. ,AKIAYPZKJUD4MSKJLBUZ_v_20250428T213036_4EUN.Ojsj1M.WODVrSvt_t9rIwGvhQ_8.csv
b1858df4,R-78,"I thought that concatenation was far more readable. Concatenation is widely used and more familiar to me because of its commonality, so I had to learn what ""string interpolation"" was as I was working through the problems. ","Yes, I found string interpolation to be more challenging to understand. Finding the starting and ending curly bracket and mentally substituting the interpolation's contents into the final string felt like unnecessary mental hurdles and concatenation was just simpler because you could append a substring to the final string in your head.","I would definitely use concatenation, it's very easy to mentally work out what you want your code to do when you use concatenation. Interpolation involves substituting in your mind and I find that to be an unnecessary challenge.","I would say that prior familiarity played a very big part. Concatenation is the default in the programming world and since I have been programming (at a basic level) for almost a decade, it's just easier to concatenate two substrings in my head rather than substitute a substring into a large string using interpolation. Perhaps if string interpolation was more used, it would be easier for me.","I don't. The concatenation syntax (+) is already very self explanatory, since you really are just adding the characters of two substrings to each other. The interpolation syntax ({}) seems a little wonky, but I can't think of a better variation.",AKIAYPZKJUD4MSKJLBUZ_v_20250428T215745_pBs32unSctmuMeZy6GBbQSarykpLQmAV.csv
edf34f86,R-79,"I think concatenation was easier, but that's also because I'm used to reading it like that and so I understood the moment I read it. Not to say that interpolation wasn't helpful in certain cases. When it was longer string like the web link example, that was definitely easier to read what it wanted to print out. When you're adding in more brackets into math problems that definitely made me slow down thinking about what the string was supposed to be. ","I think the challenge will always be double checking what the variable name is referring to. Either method, I was double checking the answer because I wanted to make sure a = hello and b = world. An advantage would once you figure out what the variables meant, and you saw the interpolation then it was ""OH I see what you wanna say"". So in that case, I think interpolation was able to speed my reading up. ","Depending on what I was writing out, either could work. If it was a website link or a long paragraph where you had key words being replaced, I would do interpolation since I think it's more appealing and eliminate any confusion with random '+'. To be honest, anytime I see variable + variable and it's related to strings it always confuses me for a minute, so with the interpolation after I figured out what it is, it made it definitely easier to replace the words. However, math equations I wouldn't use the interpolation because my eyes would confuse the brackets and parentheses. ","Had no idea what interpolation was so it took me a minute to understand what it wanted to convey. Concatenation I have seen before, but I always forget how the strings actually go together. So, seeing the examples I needed a few seconds to figure out the spacing and what was and was not included in the outputs. With the math equations it take a bit long than actual worded strings. ",I would not have any suggestions how to enhance it. Each has its ups and downs. It was definitely easier to understand when the variables were actually worded than when it was a single letter. ,AKIAYPZKJUD4MSKJLBUZ_v_20250428T222133_0i7sBu1j1h8pT3JYwtTuyH8rOuaO8wpp.csv
b836ae8f,R-80,I found string concatenation to be more readable because I have more experience using string concatenation than string interpolation.,"One of the challenges I faced with string interpolation was being unsure of its syntax and how it worked exactly, since I rarely use string interpolation.","I would prefer string concatenation, since from prior experiences I have typically used string concatenation over string interpolation.","From my experience with programming I typically use string concatenation as opposed to string interpolation, so in this survey the code snippets with string concatenation made more sense to me than those with string interpolation.",no.,AKIAYPZKJUD4MSKJLBUZ_v_20250428T223214_H9SiArjLuY7FpwCIaB1fvAR99bpLkalM.csv
76b730a5,R-81,"I found string interpolation easier to read, because I didn't have to worry about spaces and what data types I was dealing with. For instance, I know I was working on this question that had ""(1+1+1+1)"" and I kept thinking that it was 4. But its not, it would be ""(1111)"".","Yes, with the concatenation I had to be extra careful with the whitespace. I had to put my finger up to read the lines carefully. ","String interpolation. I was able to easily debug and determine which option to choose. Like when it came to reading what the domain was, I was able to quickly see which was the correct option. ","Since I have some experience with Python, I was able to do concatenation easily, but I did forget what interpolation meant. After a couple exercises, I was able to understand it. ","For interpolation I would have spaces not be a factor inside the brackets, only outside.",AKIAYPZKJUD4MSKJLBUZ_v_20250428T230149_L.VaYJ864gMXxcK90QGEPXxb0dzH2TBz.csv
299644b6,R-82,Concatenation was more readable to me because I am familiar with working with it in my classes.,"I don't think the method really affected my ability to determine the output, both are pretty intuitive.",I would choose concatenation just because of my familiarity with it.,"I have had units focused on string concatenation in Java and C++ courses that I have taken in the past few years, but no units on interpolation",No.,AKIAYPZKJUD4MSKJLBUZ_v_20250428T230834_yCDjWR_5bTVVENiPI9x0gmaNoWXsuVBv.csv
4df959fe,R-83,The string concatenation was easier to read because the interpolation added extra characters that began to get confusing.,It caused me to overthink and spend too much time on certain aspects. Using the interpolation was more difficult to process through each task versus the concatenation.,I would choose concatenation because its simple compared to using interpolation.,I'm much more unfamiliar with interpolation in programming compared to using concatenation.,"Since I've only participated in a few programming courses, I find I don't have any ideas on how to improve it since I'm still becoming familiar with VS Code and using c++ compilers. ",AKIAYPZKJUD4MSKJLBUZ_v_20250428T232546_Wz8X1i5HM6r6nxkDSE98ZLBjzTVwhuzt.csv
4278b074,R-84,I found reading string concatenation to be more readable because brackets could be misleading sometimes. With string concatenation I was able to read it easily.,I noticed reading string concatenation was quicker and more efficient.,I would choose string concatenation because the readability is easier and much more easier to understand.,"Seeing adding like ""Hello"" + ""World"" = HelloWorld makes a lot more sense because of the addition sign.",I suggest emphasizing more on variables and what they mean.,AKIAYPZKJUD4MSKJLBUZ_v_20250429T004412_Zrez.SpR0rMSi0fdwb7xozy2mXYsc_RV.csv
21a24348,R-85,I found string concatenation easier to understand as it read just like math adding strings together.,"With the commas and parentheses making unique combinations, it was difficult to understand both sometimes, yet I found concatenation better.",I would chose concatenation as it would be easier to code because it would be the same thought process as in math.,"It helped with understanding what the parantheses and quotation marks mean. With interpolation, the brackets gave me a rough idea what the code ment",,AKIAYPZKJUD4MSKJLBUZ_v_20250429T021924_LDZkiMBZDKgMxk78efL3T39M4.eK8ITd.csv
47177dba,R-86,"I found the approach that used string concatenation in the survey was more readable because it was easier to be able to tell what was being put together, where the spaces are, and what symbols were included. In the examples where there would be brackets and parentheses, I found it difficult to break down what was being concatenated and what was part of the notation. This confusion may also be because I lack familiarity with string interpolation methods.","As the questions included more convoluted code snippets, I found it challenging to follow along and see what was being combined during string interpolation. As I was trying to go through the questions fairly quickly, I began to struggle with breaking down what was happening especially looking back and forth between the options and the code snippet.","I would choose string concatenation for future programming tasks because I am more familiar with it and it was easier for me to understand. Especially in situations with braces and parentheses, the use of the '+' symbol makes it easier for me to understand and differentiate the code snippet.","Because I have prior experience using string concatenation from previous coding classes, I was able to understand those code snippets easier. Since I have never used string interpolation before, it was more difficult for me to understand the code examples.",I think having more spaces in the code snippet would help enhance the readability of the string interpolation syntax.,AKIAYPZKJUD4MSKJLBUZ_v_20250429T023433_iWAWjYEcuJy.q_5fZDIpMJysyRE17zOE.csv
05ceae52,R-87,"I prefer using the '+' string concatenation. I think the interpolation looks nicer syntax-wise, but the one that makes the most sense to me in terms of reading and understanding is the basic string concatenation. For example "" {1} {2}"" and 1 + 2, would sometimes confuse me in a string because the {1} {2} feels like it should be another variable","Yes, I think it took me a bit longer to read and understand using interpolation. Especially with other brackets, it became difficult to read.","I would choose string concatenation. I feel that the simpler it looks, as long as I understand when I'm working with strings versus integers or numbers, it is really simple to read.","Since I am so used to string concatenation already, this may make my opinion biased on interpolation, as I barely used nor was taught it. But, string concatenation made the most sense to me logically.","I think the simplicity of string concatenation makes it intuitive and easy to understand. I don't know if either could necessarily be ""improved"" as both have their advantages and disadvantages, which is all up to preference in its usage.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T025809_m2H5n2bXMh8ptmMv2Sl..G2CoG.D1ptT.csv
00a4c73e,R-88,I preferred the string concatenation but the interpolation was more readable and looked cleaner comparatively. ,"Initially I did not understand how interpolation worked since I am used to coding with concatenation. Visually interpolation looked better and if I had more experience with, no questions asked I would prefer that. ",String concatenation because thats just what I am used to doing. Its sort of intuitive for me. ,I prefer the one in which I have more experience in which is string concatenation even though the other one seemed better. ,I just think its a matter of preference but if people were trained more in the interpolation I think it would be better. ,AKIAYPZKJUD4MSKJLBUZ_v_20250429T030011_5JOlUL2ffASWyczKtYsghA.anjOgRPxb.csv
8c05e2c0,R-89,Interpolation was more easy to look at and instantly translate. Concatenation took longer to think about.,Interpolation was easy to look at and debug.,I would strongly prefer Interpolation. They are both simple and readable but interpolation is easier.,yes having previous experience helped me understand.,N/a,AKIAYPZKJUD4MSKJLBUZ_v_20250429T050741_usEayGcQfNcCujmOpWYBbv5LGh345fd5.csv
450da20d,R-90,"I found both to be okay, but I find concatenation to be easier since the '+' sign is very visible to see where the strings connect.","Personally, I find the {} brackets to be a bit more difficult to see compared to '+' when it comes to solving the tasks quickly. So interpolation forced me to look at the problem a bit longer than I would with concatenation.",I would prefer concatenation because I find it more readable.,"To be fair, I was more familiar with concatenation than interpolation, which is probably why I find it easier to understand.",I can't think of any suggestions,AKIAYPZKJUD4MSKJLBUZ_v_20250429T052923_66_UAtCk5lN_3HuSD7i70P_XykyvC.j5.csv
07fee40e,R-91,A lot of these were trying to ensure the participant looks closely for spacings and to see if they knew if interpolation would print regardless of quotation marks. I looked closely at the given code snippets and looked back and forth on each answer choice through a process of elimination.,"Each question took some time simply because of the way these questions are formatted, these questions are almost always completed with a process of elimination approach.","String concatenation because that's what I learned first and I'm not very familiar with interpolation. To me, concatenation is more straightforward and easier to spot any mistakes.","Because I was familiar with string concatenation and I have seen similar questions like that before, I'd rather choose concatenation over interpolation. I've seen these kinds of questions on exams I've taken in CS 202 and CS 135, and even on the AP computer science exam in high school.","I noticed some of the questions included parenthesis with the braces (for example, ""({a}, {b})"" + ""({c})""), which made me look carefully as to which one is which. Maybe it would be nice to bold the braces for interpolation, but that's probably just apart of the question design to trick the reader.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T060709_1tlpC50iosXD1WLV5q44DdhznJraRmBb.csv
a101ccac,R-92,"I found interpolation to be more readable despite not having much experience with it. Some examples I can think of from these questions would be number one. When using concatenation and ints, it became confusing on what exactly was a string and what was just a number. The addition operator made it more difficult to read compared to having braces.","I feel like both had pros and cons. In some cases, I understood the snippets of code with concatenation, but as stated in the previous question, when numbers and ints started to get involved, it became more confusing, and I found myself preferring interpolation. Advantages I had experienced were my somewhat knowledge in concatenation and that's about it. ","I would choose interpolation for future programming tasks. Some specific factors include the use of curly braces to help distinguish it from concatenation, where as concatenation uses adding operator/","My previous understanding of string concatenation really benefitted me in the early questions, but after that, I wasn't too sure with my answers.",I would say for concatenation for there to be a better way to distinguish it to just using the regular operator.,AKIAYPZKJUD4MSKJLBUZ_v_20250429T072948_j3050YJ_ikKfrTQC4f9Dmm94xH.0GinH.csv
9fdb488e,R-93,"string concatenation was more readable. I have never actually used string interpolation but even after looking it up, it felt much less readable than concatenation felt when I first learned about it. I think concatenation just feels more natural because the quotations basically work the same way they do in language. The interpolation examples really threw me off and were a bit overwhelming. I'm  probably just too used to concatenation.","string interpolation examples took more time, felt less natural. Not used to it so I think my brain kinda melted and I started to mix everything up.","On a deadline, I would just go with concatenation because it's what I've always used but I think I see the advantage to interpolation. It seems cleaner but takes some getting used to probably. After spending some more time with it, I think there's a good chance I'd come to prefer interpolation.",I've only used concatenation so it felt much more natural.,"I'm not sure, I think they're in a good place. Concatenation has always felt very intuitive but the syntax does start to feel redundant sometimes. Not sure what you do about that, though. Interpolation seems like a good answer to that, even though it feels a bit less natural. Not sure how I'd change it for myself without ruining it for others, though. I think maybe changing the symbols used for syntax / doubling them up (like the ternary operator using two symbols) maybe would be clearer to me personally but that's probably just worse I guess.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T081945_7ftqk7KBguK0JYfBxHV5gZVKc2aD.Cpy.csv
548a9462,R-94,"I think that concatenation was much more readable. + signs are already a common part of everyday language, and it follows the same logic in everyday life as it does in string concatenation.",I have not had to use either method or technique to debug code. Code I've done prior was more straightforward with regards to strings.,"For the same reasons as before, string concatenation is just easier to understand. Much more readable. ","To be fair, I did do a lot more work with concatenation. I've had multiple tasks that required use of concatenation for putting unknown string values together into a sentence.","No suggestions, I think that string concatenation syntax is already readable enough.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T150721_u8cGyHQxkSRfmO_jM.UgoQ6DxTWEJQXj.csv
002de4ae,R-95,String interpolation is straight forward,"I guess string interpolation is less error prone, however, concatenation should be more compatible to different language",I guess that would be string interpolation,Easy to recognise the inserted value/ variable,"Encoure flagging potential errors within the IDE, some languages may not directly allows concatenating mixed datatypes.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T163522_3tsBT.Dwi0gnYfDhPtFVuc2p12uj3ilu.csv
4335980f,R-96,Interpolation,Yes,interpolation,It did not,no,AKIAYPZKJUD4MSKJLBUZ_v_20250429T171153_2IQnx3IlzS8FkZQo6vDdUKcJiCATpYqk.csv
67b8e5b8,R-97,"I think embedded was easier to read since with concatenation, and specifically c++, it can be a little confusing when you start to ""add"" two different data types.",The main struggle that I had while doing the questions was simply rereading the snippet of code to make sure I understand what it meant,I would choose string interpolation as I feel like it makes code more readable; all you have to do is write the string as you would normally then replace the modifiable information with variables.,"I have coded with Javascript, Python, and C++ before, so I have been exposed to both interpolation and concatenation before. Having experience with these eased my understanding by a lot, as I remember when I first started concatenation was a little unclear to me.","I don't think these should be changed at all; it should just be on the coder themselves to understand how they work and also to not write ugly code with it.
",AKIAYPZKJUD4MSKJLBUZ_v_20250429T171159_BbP5zMmNLokeTdg71GXQifdzQtASIOPK.csv
514fb72f,R-98,"I think concatenation is easier to read in smaller scales but in bigger scales interpolation is better. One of the concatenation examples had a bunch of parenthesis and the quotation marks were hard to determine what they were around, something like ""(a "" + "" b) "" ...",Concatenation was easier to understand I think for the outcomes of what was going to happen but that's because I'm inexperienced with interpolation.,"Probably interpolation if I got used to it more, I've never used it before so I probably got some questions wrong but if I knew what they did I feel like it would be easier.",I've always used concatenation so it was easier to understand the outcome of what was given compared to interpolation. Actually reading it was just as hard if not harder though.,"No, not really.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T195504_IEJssPlTCiQrq9gXCSgRiNT6UpJE4fNW.csv
4ecfca46,R-99,The questions that utilized the + for concatenation and deliberate use of keywords to replace specific portions of a string were easiest to decipher by printing out the created string. The use of { } and quotes within quotes made it harder for someone who does not know the language being used to read the string.,"For code that gave a clear and concise method of creating strings, the code was instantaneously easier to read. I found great difficulty in reading the snippets of code with too much left to question like the lack of keywords, clear strategy, or other.",I find that utilizing string interpolation makes code easier to read and understand from an outside perspective that is not the programmer who wrote the code. ,"I have seen string concatenation be utilized primarily for program headers or when a program demands input from the user, giving it a more static definition than string interpolation does. Therefore, as I took this examination, I failed to understand why some of the concatenated strings needed to be concatenated rather than output directly.","The better the formatting, the easier it is to read. For the longer lines of code, I found myself blurring the characters between what I assume the computer would see as an ASCII character, or as a definition for the programming language.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T203432_D.xM8pPxLA41dcSTa2kQv7RFoYCvAprP.csv
5606641d,R-100,"String concatenation, mostly because I am used to it. With time and experience, I believe interpolation would be more readable. ",Interpolation seemed like I needed to think more about the output.,"I would probably prefer interpolation. The necessity to include [+ ""..."" +] between variable names could result in bugs. ","Experience with string concatenation made it easier to understand, but my limited experience with interpolation made it harder to understand quickly and intuitively. ",,AKIAYPZKJUD4MSKJLBUZ_v_20250429T205956_5Pf8Mme9rY631F_lCatS15eeQIGMnqWJ.csv
9552f418,R-101,"the +, its easier to me since i dont really use {} when outputting strings","Not really no, but im sure i did a lot of things wrong","the '+' for sure, its much more readable","most of my expirence with string manipulation come from competitive programming, and matching output I would say it helped a decent amount",no,AKIAYPZKJUD4MSKJLBUZ_v_20250429T210712_hCCKP5HwgQIZhfU..xqAJrVgnw4FqMUj.csv
65046f3a,R-102,When the string was longer I had an easier time with interpolation but when they were shorter concatenation was easier to ring.,A bit especially when the strings got longer. with the last couple questions with the URL being harder to understand with concatenation. It was easy to understand the snippets when the brackets from the interpolation.,Most likely interpolation especially if I work with longer strings as it is easier to read. The brackets also just look neater than the plus and quotation marks riddled throughout the string.,I didn't have much familiarity with interpolation but concatenation was used a lot in the early computer science courses I took and that is why it was easier to read the first couple questions that had concatenation.,"I cant really think of anything, maybe find a way to make concatenation seem a bit more simpler and easier to read when working with longer strings.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T212121_Wt.sPTWKmBYb08xtnahlPm0U8puXZyuo.csv
8e34f211,R-103,"When it has variables at the beginning, you check the placements of those first before starting at the beginning of the answers to get rid of wrong answers. For instance if Peter was supposed to be the first output, then the others would be deducted out.","Interpolation was harder for me personally, but I have more experience on concatenation. Especially when there are both ("""") and ({}} in the same statement.","String concatenation, simply for readability and prior experience. ",The ability to read it without second guessing or re-reading the code. I would often re-read and then end up with a different answer and it causes confusion which one I believed was right.,,AKIAYPZKJUD4MSKJLBUZ_v_20250429T215057_IETBYqXgdITtrHxpDzbAL_4wkPNVfJgP.csv
b347e018,R-104,"I found interpolation to be more readable than concatenation because it allows variables to be embedded directly in the string making the output easier to read at a glance. For example, writing ""Hello, {name}!"" is much cleaner and less error-prone than ""Hello, "" + name + ""!"", especially when multiple variables are involved. ","Yes, string interpolation made it easier to quickly understand and debug code since the variables were embedded directly in the string, reducing visual clutter compared to chained concatenation operations ","I would choose string interpolation due to the improved readability, cleaner syntax, and reduced likelihood of syntax errors, especially when working with multiple variables. ","My prior experience with both techniques helped, but I found interpolation examples easier to follow because they more closely resemble natural sentence structure, making the intent of the code clearer and easy to understand",One improvement could be consistent support for interpolation across more languages and better tooling in editors to highlight variables within interpolated strings for quicker comprehension.,AKIAYPZKJUD4MSKJLBUZ_v_20250429T223548_JR1hDJZ2ydDNeTQZ45KDCSa7mAzY1SXH.csv
97ff9b88,R-105,The approach I found more readable were the ones involving C++ and quotes. This is the case because this is what was taught during my time in college. I have had little experience with using {} to represent outputs.,"This did affect it slightly, as using { } was not something I have practiced with much before, therefore making me spend more time than usual. However, combining strings with + and "" "" helped greatly because I have practiced this many times before.","I would prefer "" "" and + because this is what I have had the most practice with, therefore making me feel much more comfortable using this in my daily coding practices and exercises.","My prior understanding of "" "" and + impacted my ease of understanding the provided code examples because, since the very beginning of my learning of my coding experience of C++, I have used this constantly, which makes me more inspired to use this as my choice for writing outputs.","I believe the way that it is implemented now is perfectly fine. I believe just a little bit of practice implementing these two can make sense for so many programmers, especially beginners.",AKIAYPZKJUD4MSKJLBUZ_v_20250429T223812_KaQs4ab0QgZeQr6jBG4ePYrN2H2NSbrO.csv
bd6ae87b,R-106,I found string concatenation more readable. It simply feels more logical to use '+'. I also just am not too familiar with string interpolation.,"String concatenation was more familiar, so it was easier to understand or debug. ",I would prefer string concatenation. ,"I was more familiar with string concatenation, so it was more recognizable and understandable. ",It is kind of hard to tell if there is a space between the quotations for string concatenation. Perhaps having some indicator.,AKIAYPZKJUD4MSKJLBUZ_v_20250429T232012_nH6r86uGkeaWmnIpaFELEiPF9XJS_pRC.csv
cee71616,R-107,"Concatenation is more readable because it feels more organic. + symbolizes adding together, so it makes more sense than {}.","I mostly use concatenation, it's easier when dealing with user input. ","I would choose concatenation, it's easier to read and more people understand it. ","I've never used interpolation myself, so it didn't feel natural for me. I understand why some people prefer it, but I like concatenation more.",it would be easier to understand if long strings are broken up into smaller strings and then added together. ,AKIAYPZKJUD4MSKJLBUZ_v_20250430T002157_iGR5VqQ809W75Mkj6J8bukZu4EKX1ZaP.csv
f1a4e398,R-108,Concatenation. I'm used to it in C++ ,Quotations in concatenations sometimes add to some confusion while reading it because it's hard to distinguish which section is being quoted,"Concatenation for short, concise tasks and interpolation for longer strings",I have zero familiarity with string interpolation,"Finding a way to eliminate the need for quotations. Maybe using something minimal like a ""q."" to label what is being quoted.",AKIAYPZKJUD4MSKJLBUZ_v_20250430T011757_1KQBzc7QgcYMnuy5bIWB_XfQXW2OPAx..csv
932d69ed,R-109,"I found it easier when their was f strings { }, but for some of them, the + was easier to read if it was short sentence.","Didn't affect that much, just had to plug them in for their variable.","String Interpolation, seems much easier, and is a bit better when reading longer sentences.","It definitely helped me a lot, I've had practice with concatenation/ f strings prior to this survey.",No recommendations. ,AKIAYPZKJUD4MSKJLBUZ_v_20250430T031525_KzbZkAVljclM4zSwyi4izw3hq6PNpZmu.csv
2cdaaa10,R-110,I think they were at a similar level.  ,"I think it depends, sometimes I found interpolation easier because it was easy to see {} but others it took a bit longer it notice because () was also being used. ","I think concatenation is overall easier to understand, or at least in these tasks they were, but interpolation can be a bit faster at times. So I think both are fine, and based off these I would not mind either just what ever fits best.",I understood these way better than I thought. I did not think they would be really difficult or anything like that it just surprised me a bit because it was simple to understand.,no,AKIAYPZKJUD4MSKJLBUZ_v_20250430T035811_UergozoJVbmiAx.1zVv8I5cHyhHLa0pQ.csv
6985aac2,R-111,I find string concatenation more readable because it doesn't seem as cluttered.,"No, I found that my understanding and debugging of code remained the same either way. I understood each question, and it was presented clearly throughout the study.",I would prefer string concatenation due to its easy readability and efficiency. I find it a little more time-consuming to write string interpolation.,"I have used string concatenation more than string interpolation, and I was able to recognize and answer the concatenation questions faster than the string interpolation questions.","I think the readability and comprehension are good, the only thing I recommend is fixing a typo I noticed with the John Doe questions.",AKIAYPZKJUD4MSKJLBUZ_v_20250430T042530_P_QYabrHh7YKd.3Wj9HPxc8bZRLm5zdl.csv
2d9b6c95,R-112,"The ""+"" method was better for me. The meaning was generally more clear.",This was a reminder that I need to practice interpolation.,I prefer concatenation because I'm more familiar with it.,"I was more familiar with concatenation, so I prefer it.",Not specifically.,AKIAYPZKJUD4MSKJLBUZ_v_20250430T052345_jHBkdyMMfCZ3LYDicoIhtQalBZkej9ld.csv
